Date;Open;High;Low;Close
01.12.2023;0.114000;0.119000;0.113000;0.115000
01.11.2023;0.113000;0.119000;0.112000;0.114000
01.10.2023;0.114000;0.120000;0.110000;0.113000
01.09.2023;0.112000;0.124000;0.111000;0.114000
01.08.2023;0.114000;0.115000;0.110000;0.112000
01.07.2023;0.114000;0.117000;0.112000;0.114000
01.06.2023;0.113000;0.125000;0.111000;0.114000
01.05.2023;0.115000;0.117000;0.111000;0.113000
01.04.2023;0.112000;0.119000;0.106000;0.115000
01.03.2023;0.114000;0.115000;0.102000;0.112000
01.02.2023;0.111000;0.117000;0.107000;0.114000
01.01.2023;0.114000;0.114000;0.110000;0.111000
12/31/2022;0.113000;0.117000;0.111000;0.114000
12/30/2022;0.116000;0.117000;0.113000;0.113000
12/29/2022;0.117000;0.119000;0.110000;0.116000
12/28/2022;0.122000;0.125000;0.116000;0.117000
12/27/2022;0.122000;0.123000;0.121000;0.122000
12/26/2022;0.122000;0.125000;0.121000;0.122000
12/25/2022;0.120000;0.125000;0.119000;0.122000
12/24/2022;0.119000;0.123000;0.119000;0.120000
12/23/2022;0.120000;0.122000;0.118000;0.119000
12/22/2022;0.121000;0.127000;0.118000;0.120000
12/21/2022;0.119000;0.123000;0.113000;0.121000
12/20/2022;0.120000;0.124000;0.113000;0.119000
12/19/2022;0.122000;0.127000;0.116000;0.120000
12/18/2022;0.129000;0.129000;0.122000;0.122000
12/17/2022;0.123000;0.133000;0.117000;0.129000
12/16/2022;0.128000;0.142000;0.119000;0.123000
12/15/2022;0.132000;0.132000;0.127000;0.128000
12/14/2022;0.128000;0.146000;0.125000;0.132000
12/13/2022;0.124000;0.153000;0.119000;0.128000
12.12.2022;0.128000;0.130000;0.119000;0.124000
12.11.2022;0.130000;0.133000;0.127000;0.128000
12.10.2022;0.134000;0.134000;0.128000;0.130000
12.09.2022;0.132000;0.170000;0.130000;0.134000
12.08.2022;0.130000;0.144000;0.126000;0.132000
12.07.2022;0.131000;0.148000;0.124000;0.130000
12.06.2022;0.132000;0.134000;0.130000;0.131000
12.05.2022;0.134000;0.141000;0.124000;0.132000
12.04.2022;0.138000;0.142000;0.130000;0.134000
12.03.2022;0.168000;0.168000;0.138000;0.138000
12.02.2022;0.112000;0.208000;0.112000;0.168000
12.01.2022;0.114000;0.115000;0.111000;0.112000
11/30/2022;0.111000;0.116000;0.106000;0.114000
11/29/2022;0.109000;0.115000;0.108000;0.111000
11/28/2022;0.116000;0.117000;0.105000;0.109000
11/27/2022;0.116000;0.127000;0.114000;0.116000
11/26/2022;0.111000;0.143000;0.109000;0.116000
11/25/2022;0.115000;0.117000;0.111000;0.111000
11/24/2022;0.115000;0.168000;0.112000;0.115000
11/23/2022;0.099000;0.171000;0.088000;0.115000
11/22/2022;0.103000;0.107000;0.094000;0.099000
11/21/2022;0.101000;0.112000;0.096000;0.103000
11/20/2022;0.108000;0.116000;0.101000;0.101000
11/19/2022;0.108000;0.110000;0.102000;0.108000
11/18/2022;0.104000;0.113000;0.103000;0.108000
11/17/2022;0.108000;0.111000;0.104000;0.104000
11/16/2022;0.111000;0.129000;0.108000;0.108000
11/15/2022;0.103000;0.126000;0.103000;0.111000
11/14/2022;0.108000;0.113000;0.100000;0.103000
11/13/2022;0.110000;0.119000;0.101000;0.108000
11.12.2022;0.111000;0.114000;0.103000;0.110000
11.11.2022;0.130000;0.130000;0.111000;0.111000
11.10.2022;0.108000;0.133000;0.108000;0.130000
11.09.2022;0.140000;0.141000;0.108000;0.108000
11.08.2022;0.164000;0.172000;0.135000;0.139000
11.07.2022;0.174000;0.182000;0.162000;0.164000
11.06.2022;0.179000;0.179000;0.173000;0.174000
11.05.2022;0.175000;0.179000;0.171000;0.179000
11.04.2022;0.162000;0.180000;0.162000;0.175000
11.03.2022;0.160000;0.169000;0.155000;0.162000
11.02.2022;0.161000;0.163000;0.158000;0.160000
11.01.2022;0.160000;0.166000;0.159000;0.161000
10/31/2022;0.160000;0.163000;0.154000;0.160000
10/30/2022;0.164000;0.165000;0.155000;0.160000
10/29/2022;0.164000;0.170000;0.160000;0.164000
10/28/2022;0.167000;0.171000;0.162000;0.164000
10/27/2022;0.169000;0.180000;0.164000;0.167000
10/26/2022;0.167000;0.184000;0.165000;0.169000
10/25/2022;0.164000;0.174000;0.161000;0.167000
10/24/2022;0.161000;0.180000;0.161000;0.164000
10/23/2022;0.166000;0.170000;0.160000;0.161000
10/22/2022;0.163000;0.179000;0.160000;0.166000
10/21/2022;0.161000;0.178000;0.160000;0.163000
10/20/2022;0.165000;0.169000;0.161000;0.161000
