Unix;Date;Symbol;Open;High;Low;Close;Volume 1INCH;Volume BUSD;tradecount
1,69E+12;01.09.2023;1INCHBUSD;0.2444;0.2453;0.2329;0.2352;106470.4;25363.41157;340
1,69E+12;31.08.2023;1INCHBUSD;0.2556;0.2572;0.2414;0.245;171862.8;42646.99102;345
1,69E+12;30.08.2023;1INCHBUSD;0.2596;0.2596;0.2534;0.2569;189636.2;48679.38095;399
1,69E+12;29.08.2023;1INCHBUSD;0.2486;0.2633;0.2402;0.2585;214869.3;54075.18832;626
1,69E+12;28.08.2023;1INCHBUSD;0.248;0.2545;0.2383;0.2485;375152.8;93460.87066;538
1,69E+12;27.08.2023;1INCHBUSD;0.2421;0.248;0.2409;0.248;105390.6;25759.88428;239
1,69E+12;26.08.2023;1INCHBUSD;0.2469;0.2493;0.2419;0.2423;205961.6;50698.59048;390
1,69E+12;25.08.2023;1INCHBUSD;0.2508;0.2508;0.2408;0.2458;225869.0;55365.10119;433
1,69E+12;24.08.2023;1INCHBUSD;0.2513;0.2538;0.2465;0.2512;141972.8;35524.92309;339
1,69E+12;23.08.2023;1INCHBUSD;0.245;0.2545;0.2435;0.2521;177326.4;44101.69711;382
1,69E+12;22.08.2023;1INCHBUSD;0.2439;0.2463;0.2339;0.2445;157550.0;37871.55979;329
1,69E+12;21.08.2023;1INCHBUSD;0.2505;0.2505;0.238;0.2443;203675.9;49889.15759;445
1,69E+12;20.08.2023;1INCHBUSD;0.2485;0.2515;0.2464;0.2503;215946.3;53906.37789;352
1,69E+12;19.08.2023;1INCHBUSD;0.242;0.2504;0.2406;0.2491;326537.7;79782.60036;612
1,69E+12;18.08.2023;1INCHBUSD;0.2349;0.2447;0.232;0.242;595205.1;142580.0323;1478
1,69E+12;17.08.2023;1INCHBUSD;0.2638;0.2706;0.2005;0.2356;885327.9;216600.40764;2308
1,69E+12;16.08.2023;1INCHBUSD;0.2853;0.287;0.2575;0.265;710215.8;192859.94022;1499
1,69E+12;15.08.2023;1INCHBUSD;0.3096;0.3101;0.2649;0.2864;472021.3;137276.35871;1453
1,69E+12;14.08.2023;1INCHBUSD;0.3073;0.3134;0.3034;0.3101;367281.3;113322.63095;861
1,69E+12;13.08.2023;1INCHBUSD;0.3057;0.3119;0.305;0.3074;208848.0;64223.18166;319
1,69E+12;12.08.2023;1INCHBUSD;0.3078;0.3092;0.304;0.3058;117566.0;35967.83013;287
1,69E+12;11.08.2023;1INCHBUSD;0.3075;0.3103;0.3057;0.3073;311865.5;96105.00868;440
